date,zip_code,total_ed_visits,ili_pne_visits,ili_pne_admissions,borough
2022-03-08,10021,18,2,1,Manhattan
2020-12-15,10033,54,4,0,Manhattan
2021-08-01,11432,81,6,0,Queens
2021-04-23,10032,70,2,0,Manhattan
2022-01-02,10459,110,20,3,Bronx
2022-09-03,10472,111,6,1,Bronx
2020-12-13,11210,39,1,0,Brooklyn
2020-06-06,11004,21,1,0,Queens
2021-11-21,10465,33,1,0,Bronx
2020-11-17,10032,67,3,0,Manhattan
2022-02-03,11426,13,1,1,Queens
2020-10-14,11374,29,1,0,Queens
2020-12-27,11433,29,4,2,Queens
2022-08-14,11201,60,1,0,Brooklyn
2021-11-07,11213,69,1,0,Brooklyn
2020-05-12,11358,10,0,0,Queens
2020-12-01,11422,27,1,0,Queens
2020-12-24,11360,5,0,0,Queens
2020-05-16,10461,47,3,2,Bronx
2021-08-24,11201,54,2,0,Brooklyn
2020-05-16,10007,3,0,0,Manhattan
2021-04-19,11377,76,3,0,Queens
2020-12-03,11204,35,3,1,Brooklyn
2022-10-09,11428,15,2,0,Queens
2021-06-22,11435,52,3,0,Queens
2020-12-16,11436,17,2,2,Queens
2022-04-03,10004,4,1,0,Manhattan
2022-01-23,11109,4,0,0,Queens
2021-04-10,11364,19,5,1,Queens
2021-07-23,11693,9,0,0,Queens
2021-05-20,11218,72,5,0,Brooklyn
2022-08-24,11379,23,1,0,Queens
2020-05-31,11432,44,2,2,Queens
2022-04-06,10005,3,1,0,Manhattan
2021-07-23,10466,116,3,0,Bronx
2022-07-16,10306,55,3,1,Staten Island
2020-03-07,10040,35,4,1,Manhattan
2021-08-22,11106,50,5,2,Queens
2022-01-04,11102,42,8,1,Queens
2021-12-07,11208,132,8,2,Brooklyn
2020-06-30,11378,24,0,0,Queens
2020-05-09,10455,31,2,0,Bronx
2021-09-02,11369,41,0,0,Queens
2020-11-02,10471,13,0,0,Bronx
2021-09-15,11004,29,0,0,Queens
2020-11-12,11419,36,2,1,Queens
2021-12-19,10027,93,22,2,Manhattan
2020-07-01,10024,16,0,0,Manhattan
2021-12-20,10044,5,0,0,Manhattan
2020-08-28,11206,92,2,0,Brooklyn
2020-07-02,10462,96,4,0,Bronx
2022-05-19,11697,2,0,0,Queens
2022-05-26,10310,46,3,0,Staten Island
2020-09-20,11432,61,3,1,Queens
2021-10-23,11220,80,3,1,Brooklyn
2020-09-05,10004,2,0,0,Manhattan
2021-05-15,10040,41,2,0,Manhattan
2020-09-24,10075,23,1,0,Manhattan
2021-03-10,11436,26,4,1,Queens
2022-11-13,11209,50,4,0,Brooklyn
2022-04-24,10029,138,4,0,Manhattan
2020-07-14,11103,14,0,0,Queens
2021-11-20,10461,49,3,0,Bronx
2021-08-22,11361,2,0,0,Queens
2022-03-29,10458,120,4,0,Bronx
2020-06-28,11237,46,0,0,Brooklyn
2021-11-15,10461,70,5,1,Bronx
2021-05-25,10036,23,0,0,Manhattan
2020-08-07,10010,13,0,0,Manhattan
2022-08-30,10025,84,2,1,Manhattan
2022-03-20,11412,29,0,0,Queens
2020-11-25,11411,11,0,0,Queens
2022-07-12,11225,61,2,0,Brooklyn
2022-10-29,11374,44,4,0,Queens
2020-09-21,11201,42,1,0,Brooklyn
2022-02-25,11238,44,2,1,Brooklyn
2020-03-18,11209,57,14,6,Brooklyn
2022-01-02,10128,46,3,1,Manhattan
2022-06-03,11235,104,13,2,Brooklyn
2020-06-19,11103,21,1,1,Queens
2021-02-11,11215,34,1,0,Brooklyn
2022-02-03,11433,56,1,0,Queens
2022-04-16,11218,48,2,0,Brooklyn
2021-07-06,10039,63,8,1,Manhattan
2020-07-19,11694,7,0,0,Queens
2021-02-22,11415,15,0,0,Queens
2020-03-08,11214,61,5,2,Brooklyn
2020-04-06,11206,66,17,8,Brooklyn
2022-10-17,10009,79,2,1,Manhattan
2020-08-16,11358,14,0,0,Queens
2021-01-04,11363,2,0,0,Queens
2020-11-18,11374,22,1,0,Queens
2021-01-21,10031,70,8,3,Manhattan
2020-05-11,11220,47,1,1,Brooklyn
2020-06-16,11422,11,0,0,Queens
2021-08-24,11228,26,1,1,Brooklyn
2022-09-30,11104,28,3,0,Queens
2022-02-20,10004,1,0,0,Manhattan
2020-06-08,11364,4,0,0,Queens
2022-11-21,11213,78,11,1,Brooklyn
2020-05-25,11223,32,2,1,Brooklyn
2020-11-04,11220,66,4,2,Brooklyn
2022-02-10,10302,19,1,0,Staten Island
2022-05-04,11230,67,6,2,Brooklyn
2021-10-15,10459,92,2,0,Bronx
2022-03-30,10001,47,1,1,Manhattan
2020-09-30,10466,86,2,0,Bronx
2020-12-12,11432,58,11,5,Queens
2021-10-16,11203,90,1,1,Brooklyn
2021-11-06,11103,20,1,0,Queens
2020-06-27,11374,19,0,0,Queens
2020-08-30,10031,59,2,0,Manhattan
2021-12-16,11104,26,2,0,Queens
2021-08-08,11366,9,0,0,Queens
2021-01-28,11379,18,2,0,Queens
2021-05-19,11415,16,1,1,Queens
2020-05-02,10461,34,4,3,Bronx
2021-01-27,11697,1,0,0,Queens
2022-04-09,10026,47,3,0,Manhattan
2022-06-08,10463,87,8,0,Bronx
2020-11-24,11212,130,7,4,Brooklyn
2022-05-16,11412,38,2,1,Queens
2021-03-16,11209,50,5,1,Brooklyn
2020-10-07,10470,9,2,0,Bronx
2020-12-19,10310,24,4,2,Staten Island
2020-05-17,10473,42,2,0,Bronx
2022-04-01,11104,15,2,0,Queens
2021-01-18,11230,79,17,6,Brooklyn
2020-05-31,11221,54,1,0,Brooklyn
2020-10-01,10302,24,0,0,Staten Island
2022-01-07,11423,30,6,1,Queens
2021-12-14,11379,29,1,1,Queens
2021-12-28,11218,87,11,3,Brooklyn
2021-07-15,11422,26,3,1,Queens
2022-01-21,11420,34,3,1,Queens
2020-07-17,11223,43,0,0,Brooklyn
2022-05-24,11692,40,2,0,Queens
2022-10-28,11103,26,1,0,Queens
2021-04-28,11416,22,1,0,Queens
2021-11-08,11212,213,6,1,Brooklyn
2022-05-09,11373,137,12,1,Queens
2022-07-10,11207,137,12,0,Brooklyn
2022-04-03,11229,60,4,1,Brooklyn
2020-03-19,11419,46,13,5,Queens
2020-11-08,10307,12,0,0,Staten Island
2020-12-14,11365,28,1,0,Queens
2022-02-06,10018,9,1,0,Manhattan
2021-04-29,10033,56,1,0,Manhattan
2020-03-09,10017,20,4,3,Manhattan
2021-02-09,11367,36,3,0,Queens
2022-07-31,10016,78,6,1,Manhattan
2021-11-23,11225,59,2,0,Brooklyn
2021-06-01,10026,46,2,1,Manhattan
2020-11-29,11420,39,2,0,Queens
2021-07-13,11420,55,2,0,Queens
2020-08-26,10044,6,0,0,Manhattan
2021-06-10,10034,49,2,0,Manhattan
2022-09-30,11226,153,9,2,Brooklyn
2020-10-23,11370,32,2,2,Queens
2020-08-27,11367,19,0,0,Queens
2020-09-29,10451,83,3,1,Bronx
2021-11-09,11109,3,0,0,Queens
2022-08-24,11411,23,0,0,Queens
2021-11-11,10006,1,0,0,Manhattan
2022-05-07,11239,27,3,0,Brooklyn
2020-07-22,10003,31,0,0,Manhattan
2022-10-10,10037,45,3,0,Manhattan
2020-04-16,11215,23,5,3,Brooklyn
2020-12-21,11207,149,15,5,Brooklyn
2020-10-26,11203,113,2,0,Brooklyn
2021-10-13,11211,64,4,0,Brooklyn
2021-07-06,11215,45,1,0,Brooklyn
2022-06-28,11360,10,2,2,Queens
2021-01-08,11385,74,5,2,Queens
2021-07-26,11221,137,6,1,Brooklyn
2020-07-23,10304,53,3,1,Staten Island
2022-11-05,10009,75,7,0,Manhattan
2021-08-25,11239,21,1,0,Brooklyn
2022-06-01,11422,14,1,0,Queens
2021-02-12,11106,44,4,2,Queens
2021-09-26,10009,45,0,0,Manhattan
2021-08-12,11365,27,3,0,Queens
